ComplexName	subunits(UniProt IDs)	subunits(Entrez IDs)	GO description	FunCat description	subunits(Gene name)	Subunits comment	Complex comment	Disease comment
ProTalpha C5 complex	P06454;P25786;P39687;Q00325;Q07021	5757;5682;8125;5250;708	ethanolamine-phosphate cytidylyltransferase activity	None	PTMA;PSMA1;ANP32A;SLC25A3;C1QBP	None	None	None
ProTalpha C7 complex	P06454;P39687;Q92688	5757;8125;10541	negative regulation of apoptotic process;cell proliferation	anti-apoptosis	PTMA;ANP32A;ANP32B	None	None	None
ProTalpha C8 complex	P06454;P39687;P62491;Q92688	5757;8125;8766;10541	negative regulation of apoptotic process;cell proliferation	anti-apoptosis	PTMA;ANP32A;RAB11A;ANP32B	None	None	None
ProTalpha C9 complex	P06454;Q01105	5757;6418	negative regulation of apoptotic process;cell proliferation	anti-apoptosis	PTMA;SET	None	None	None
THSD1-FAK-talin-vinculin complex	P18206;Q05397;Q9NS62;Q9Y490	7414;5747;55901;7094	regulation of focal adhesion assembly	None	VCL;PTK2;THSD1;TLN1	None	None	The harmful variants in THSD1 (Thrombospondin type-1 domain-containing protein 1) likely cause intracranial aneurysm and subarachnoid hemorrhage in a subset of both familial and sporadic patients with supporting evidence from two vertebrate models (PMID:29069646).
ABI3-WAVE2-CYFIP1 complex	Q7L576;Q9P2A4;Q9Y6W5	23191;51225;10163	regulation of phosphatidylinositol 3-kinase signaling	None	CYFIP1;ABI3;WASF2	None	None	None
FGF1-ITGAV-ITGB3 complex	P05106;P05230;P06756	3690;2246;3685	fibroblast growth factor receptor signaling pathway	FGF-receptor signalling pathway	ITGB3;FGF1;ITGAV	None	"The direct binding of FGF1 to soluble and cell-surface integrin alphavbeta3 (= ITGAV-ITGB3) plays a role in FGF1 signaling. An FGF1 mutant (R50E) was identified that was defective in integrin binding but still bound to heparin and FGFR. R50E was defective in inducing DNA synthesis, cell proliferation, cell migration, and chemotaxis, suggesting that the direct integrin binding to FGF1 is critical for FGF signaling."	FGF1 and FGF2 are responsible for resistance to chemotherapeuticagents in cancer and are also pro-inflammatory growth factors that play a role in pathological angiogenesis in chronic inflammatory diseases.
JIP1-JIP2 complex	Q13387;Q9UQF2	23542;9479	regulation of anterograde axonal transport of mitochondrion	None	MAPK8IP2;MAPK8IP1	None	None	None
ADIPOQ-PLOD3-GLT25D1 complex	O60568;Q15848;Q8NBJ5	8985;9370;79709	regulation of lipid transport	None	PLOD3;ADIPOQ;COLGALT1	None	None	None
ST3GAL6-EGFR complex	P00533;Q9Y274	1956;10402	regulation of cell migration	None	EGFR;ST3GAL6	None	None	"OMIM:167000 Ovarian Cancer, Epithelial(PMID:28423672)."
SEPHS1-SEPHS2-SEPSECS-SECp43 complex	P49903;Q80VC6;Q99611;Q9HD40	22929;71787;22928;51091	selenocysteine incorporation;selenocysteine metabolic process	selenocystein biosynthesis and incorporation	SEPHS1;Trnau1ap;SEPHS2;SEPSECS	None	None	None
PLOD2-FKBP10 complex	O00469;Q96AY3	5352;60681	None	None	PLOD2;FKBP10	None	None	OMIM:259450 Bruck syndrome 1.OMIM:609220 Bruck syndrome 2 (PMID:28378777).
CAPZA3-CAPZB complex	P47756;Q96KX2	832;93661	spermatogenesis	None	CAPZB;CAPZA3	None	None	None
HTT-DISC1-PDE4B complex	P42858;Q07343;Q9NRI5	3064;5142;27185	None	None	HTT;PDE4B;DISC1	None	None	OMIM:143100 Huntington disease (PMID:28263187).
PP2A-NR3A complex	P30153;P63151;P67775;Q8TCU5	5518;5520;5515;116443	regulation of synaptic plasticity;regulation of phosphoprotein phosphatase activity	None	PPP2R1A;PPP2R2A;PPP2CA;GRIN3A	"Since the authors did not specify A and C subunit of the PP2A complex, we used isoform  PPP2R1A and PPP2CA."	None	None
FERMT3-RACK1 complex	P63244;Q86UX7	10399;83706	integrin alphaL-beta2 complex;scaffold protein binding;integrin-mediated signaling pathway	integrin receptor signalling pathway	RACK1;FERMT3	None	"Kindlin-3 (= FERMT3) is involved in integrin alphaLbeta2 outside-in signaling, induces integrin alphaLbeta2 clustering, and interacts with the scaffold protein, the receptor for activated-C kinase 1, RACK1. This interaction involves the pleckstrin homology domain of kindlin-3 and blades 5\u20137 of RACK1. It is show that integrin alphaLbeta2 engagement by its ligand ICAM-1 promotes the association of kindlin-3 with RACK1."	None
ITGB1-RACK1 complex	P05556;P63244	3688;10399	protein kinase C binding;regulation of integrin-mediated signaling pathway	None	ITGB1;RACK1	None	"The integrin beta subunit cytoplasmic domains are important for activation-dependent cell adhesion and adhesion-dependent signaling events. An interaction between integrin beta subunit cytoplasmic domain and Rack1, a Trp-Asp (WD) repeat protein that bind activated protein kinase C, has been shown. The Rack1-binding site on integrin beta 2 subunit resides within a conserved, membrane-proximal region. Rack1 co-immunoprecipitates with at least two different beta integrins, beta 1 integrins in 293T cells and beta 2 integrins in JY lymphoblastoid cells. The findings suggest that Rack1 may link protein kinase C directly to integrins and participate in the regulation of integrin functions."	None
ITGB2-RACK1 complex	P05107;P63244	3689;10399	protein kinase C binding;regulation of integrin-mediated signaling pathway	None	ITGB2;RACK1	None	"The integrin beta subunit cytoplasmic domains are important for activation-dependent cell adhesion and adhesion-dependent signaling events. An interaction between integrin beta subunit cytoplasmic domain and Rack1, a Trp-Asp (WD) repeat protein that bind activated protein kinase C, has been shown. The Rack1-binding site on integrin beta 2 subunit resides within a conserved, membrane-proximal region. Rack1 co-immunoprecipitates with at least two different beta integrins, beta 1 integrins in 293T cells and beta 2 integrins in JY lymphoblastoid cells. The findings suggest that Rack1 may link protein kinase C directly to integrins and participate in the regulation of integrin functions."	None
GNAI1-GNGT1-GNB1 complex	P62873;P63096;P63211	2782;2770;2792	None	None	GNB1;GNAI1;GNGT1	None	None	None
GNAI1-GNB2-GNGT1 complex	P62879;P63096;P63211	2783;2770;2792	None	None	GNB2;GNAI1;GNGT1	None	None	None
GNAI1-GNB3-GNGT1 complex	P16520;P63096;P63211	2784;2770;2792	None	None	GNB3;GNAI1;GNGT1	None	None	None
GNAI1-GNB4-GNGT1 complex	P63096;P63211;Q9HAV0	2770;2792;59345	None	None	GNAI1;GNGT1;GNB4	None	None	None
GNAI1-GNB5-GNGT1 complex	O14775;P63096;P63211	10681;2770;2792	None	None	GNB5;GNAI1;GNGT1	None	None	None
GNAI1-GNB1-GNG2 complex	P59768;P62873;P63096	54331;2782;2770	None	None	GNG2;GNB1;GNAI1	None	None	None
GNAI1-GNB2-GNG2 complex	P59768;P62879;P63096	54331;2783;2770	None	None	GNG2;GNB2;GNAI1	None	None	None
GNAI1-GNB3-GNG2 complex	P16520;P59768;P63096	2784;54331;2770	None	None	GNB3;GNG2;GNAI1	None	None	None
GNAI1-GNB4-GNG2 complex	P59768;P63096;Q9HAV0	54331;2770;59345	None	None	GNG2;GNAI1;GNB4	None	None	None
GNAI1-GNB5-GNG2 complex	O14775;P59768;P63096	10681;54331;2770	None	None	GNB5;GNG2;GNAI1	None	None	None
GNAI1-GNB1-GNG3 complex	P62873;P63096;P63215	2782;2770;2785	None	None	GNB1;GNAI1;GNG3	None	None	None
GNAI1-GNB2-GNG3 complex	P62879;P63096;P63215	2783;2770;2785	None	None	GNB2;GNAI1;GNG3	None	None	None
GNAI1-GNB3-GNG3 complex	P16520;P63096;P63215	2784;2770;2785	None	None	GNB3;GNAI1;GNG3	None	None	None
GNAI1-GNB4-GNG3 complex	P63096;P63215;Q9HAV0	2770;2785;59345	None	None	GNAI1;GNG3;GNB4	None	None	None
GNAI1-GNB5-GNG3 complex	O14775;P63096;P63215	10681;2770;2785	None	None	GNB5;GNAI1;GNG3	None	None	None
DCP1A-NR3C1-PNRC2-UPF1-complex	P04150;Q92900;Q9NPI6;Q9NPJ4	2908;5976;55802;55629	nuclear-transcribed mRNA catabolic process;regulation of monocyte chemotaxis	None	NR3C1;UPF1;DCP1A;PNRC2	None	Dexamethasone treatment triggers efficient formation of the DCP1A-NR3C1-PNRC2-UPF1-complex. The authors demonstrate that 'Glucocorticoid receptor-mediated mRNA decay' (GMD) targets a subset of cellular mRNAs. Results suggest that GMD plays an important role in the chemotaxis of monocytes via regulation of CCL2 mRNA stability.	None
GNAI1-GNB1-GNG4 complex	P50150;P62873;P63096	2786;2782;2770	None	None	GNG4;GNB1;GNAI1	None	None	None
GNAI1-GNB2-GNG4 complex	P50150;P62879;P63096	2786;2783;2770	None	None	GNG4;GNB2;GNAI1	None	None	None
GNAI1-GNB3-GNG4 complex	P16520;P50150;P63096	2784;2786;2770	None	None	GNB3;GNG4;GNAI1	None	None	None
GNAI1-GNB4-GNG4 complex	P50150;P63096;Q9HAV0	2786;2770;59345	None	None	GNG4;GNAI1;GNB4	None	None	None
GNAI1- GNB5-GNG4 complex	O14775;P50150;P63096	10681;2786;2770	None	None	GNB5;GNG4;GNAI1	None	None	None
GNAI1-GNB1-GNG5 complex	P62873;P63096;P63218	2782;2770;2787	None	None	GNB1;GNAI1;GNG5	None	None	None
GNAI1-GNB2-GNG5 complex	P62879;P63096;P63218	2783;2770;2787	None	None	GNB2;GNAI1;GNG5	None	None	None
BVR-PKCD-ERK2 complex	P28482;P53004;Q05655	5594;644;5580	regulation of ERK1 and ERK2 cascade;cell proliferation	None	MAPK1;BLVRA;PRKCD	None	"The BVR-PKCdelta-ERK2 ternary complex is essential for ERK2 signal transduction and activation of genes are linked to cell proliferation and cancer. MEK1/2 and the protein phosphatase PP2A were also present in the complex. hBVR and ERK2 were phosphorylated by PKCdelta. hBVR was required for the activation of PKCdelta and its interaction with ERK2. The C-terminal phenylalanine residues of PKCdelta (Phe(660), Phe(663), and Phe(665)) were necessary for binding to ERK2 but not for hBVR binding. Formation of the hBVR-PKCdelta-ERK2 complex required the hBVR docking site for ERK, FXFP (DEF, C-box) and D(delta)-box (ILXXLXL) motifs."	None
PDZK1-PLCB3-SSTR5 complex	P35346;Q01970;Q5T2W1	6755;5331;5174	somatostatin signaling pathway;type 5 somatostatin receptor binding;G-protein coupled receptor signaling pathway	G-protein coupled receptor signalling pathway	SSTR5;PLCB3;PDZK1	None	"Phospholipase C-beta (PLC-beta) is a key molecule in G protein-coupled receptor (GPCR)-mediated signaling. The formation of complexes between somatostatin receptors (SSTRs 1-5), PDZK1 (PDZ domain-containing 1), and PLC-beta3 is essential for the specific activation of PLC-beta3 and the subsequent physiologic responses by somatostatin (SST). SSTR5 not only interacted with PDZK1 but also interacted with endogenous PLC-beta3, but not with PLC-beta1. It was also confirmed that other SSTR isotypes (SSTR1-4) interact with PDZK1 and form complexes with PLC-beta3."	None
PDZK1-PLCB3- SSTR1 complex	P30872;Q01970;Q5T2W1	6751;5331;5174	G-protein coupled receptor signaling pathway;somatostatin signaling pathway;type 1 somatostatin receptor binding	G-protein coupled receptor signalling pathway	SSTR1;PLCB3;PDZK1	None	"Phospholipase C-beta (PLC-beta) is a key molecule in G protein-coupled receptor (GPCR)-mediated signaling. The formation of complexes between somatostatin receptors (SSTRs 1-5), PDZK1 (PDZ domain-containing 1), and PLC-beta3 is essential for the specific activation of PLC-beta3 and the subsequent physiologic responses by somatostatin (SST)."	None
PDZK1-PLCB3- SSTR2 complex	P30874;Q01970;Q5T2W1	6752;5331;5174	G-protein coupled receptor signaling pathway;somatostatin signaling pathway;type 2 somatostatin receptor binding	G-protein coupled receptor signalling pathway	SSTR2;PLCB3;PDZK1	None	"Phospholipase C-beta (PLC-beta) is a key molecule in G protein-coupled receptor (GPCR)-mediated signaling. The formation of complexes between somatostatin receptors (SSTRs 1-5), PDZK1 (PDZ domain-containing 1), and PLC-beta3 is essential for the specific activation of PLC-beta3 and the subsequent physiologic responses by somatostatin (SST)."	None
PDZK1-PLCB3- SSTR3 complex	P32745;Q01970;Q5T2W1	6753;5331;5174	G-protein coupled receptor signaling pathway;somatostatin signaling pathway;type 3 somatostatin receptor binding	G-protein coupled receptor signalling pathway	SSTR3;PLCB3;PDZK1	None	"Phospholipase C-beta (PLC-beta) is a key molecule in G protein-coupled receptor (GPCR)-mediated signaling. The formation of complexes between somatostatin receptors (SSTRs 1-5), PDZK1 (PDZ domain-containing 1), and PLC-beta3 is essential for the specific activation of PLC-beta3 and the subsequent physiologic responses by somatostatin (SST)."	None
PDZK1-PLCB3- SSTR4 complex	P31391;Q01970;Q5T2W1	6754;5331;5174	G-protein coupled receptor signaling pathway;somatostatin signaling pathway;type 4 somatostatin receptor binding	G-protein coupled receptor signalling pathway	SSTR4;PLCB3;PDZK1	None	"Phospholipase C-beta (PLC-beta) is a key molecule in G protein-coupled receptor (GPCR)-mediated signaling. The formation of complexes between somatostatin receptors (SSTRs 1-5), PDZK1 (PDZ domain-containing 1), and PLC-beta3 is essential for the specific activation of PLC-beta3 and the subsequent physiologic responses by somatostatin (SST)."	None
IFNAR1-IFNAR2-IFNW1 complex	P05000;P17181;P48551	3467;3454;3455	cytokine activity;cytokine receptor binding;type I interferon receptor binding	"cytokines (interleukines, colony stimulating factors, etc.)"	IFNW1;IFNAR1;IFNAR2	None	Type I Interferons (IFNs) are important cytokines for innate immunity against viruses and cancer.	None
IFNAR2-IFNA2 complex	P01563;P48551	3440;3455	cytokine activity;cytokine receptor binding;type I interferon receptor binding	"cytokines (interleukines, colony stimulating factors, etc.)"	IFNA2;IFNAR2	None	Type I Interferons (IFNs) are important cytokines for innate immunity against viruses and cancer.	None
IFNAR1-IFNAR2-IFNA2 complex	P01563;P17181;P48551	3440;3454;3455	cytokine activity;cytokine receptor binding;type I interferon receptor binding	"cytokines (interleukines, colony stimulating factors, etc.)"	IFNA2;IFNAR1;IFNAR2	None	Type I Interferons (IFNs) are important cytokines for innate immunity against viruses and cancer.	None
TLR1-TLR2 complex	O60603;Q15399	7097;7096	Toll-like receptor binding;immune response	immune response	TLR2;TLR1	None	"TLR2 in association with TLR1 or TLR6 plays an important role in the innate immune response by recognizing microbial lipoproteins and lipopeptides. Binding of the tri-acylated lipopeptide, Pam(3)CSK(4), induced the formation of an ""m"" shaped heterodimer of the TLR1 and TLR2 ectodomains whereas binding of the di-acylated lipopeptide, Pam(2)CSK(4), did not. The three lipid chains of Pam(3)CSK(4) mediate the heterodimerization of the receptor; the two ester-bound lipid chains are inserted into a pocket in TLR2, while the amide-bound lipid chain is inserted into a hydrophobic channel in TLR1. An extensive hydrogen-bonding network, as well as hydrophobic interactions, between TLR1 and TLR2 further stabilize the heterodimer."	None
TLR1-TLR2-lipoprotein complex	O60603;Q15399	7097;7096	immune response;Toll-like receptor binding	immune response	TLR2;TLR1	None	Human lipopolysaccharide-binding protein LBP and CD14 independently deliver triacylated lipoproteins to Toll-likereceptors TLR1 and TLR2 and enhance formation of the TLR1-TLR2-lipopeptide ternary complex but are not part of the stable ternary complex.	None
PIAS1-SUMO1-UBC9 complex	O75925;P63165;P63279	8554;7341;7329	SUMO binding;SUMO ligase activity;transcription corepressor activity	None	PIAS1;SUMO1;UBE2I	None	"UBC9 and PIAS1 are engaged both in a canonical E2\u00b7E3 interaction as well as assembled into a previously unidentified non-covalent ternary complex with SUMO as evidenced by bioluminescence resonance energy transfer, nuclear magnetic resonance spectroscopy, and isothermal titration calorimetry studies. In this ternary complex, SUMO functions as a bridge by forming non-overlapping interfaces with UBC9 and PIAS1. Data suggest that phosphorylation of serine residues adjacent to the PIAS1 SUMO-interacting motif favors formation of the non covalent PIAS1\u00b7SUMO\u00b7UBC9 ternary complex. The non-covalent ternary complex is required for the known transcriptional repression activities mediated by UBC9 and SUMO1."	None
OTUB1-UBC13-MMS2 complex	P61088;Q15819;Q96FW1	7334;7336;55611	ubiquitin protein ligase binding;protein deubiquitination;protein ubiquitination;regulation of DNA repair;double-strand break repair;protein polyubiquitination;ubiquitin-protein transferase activity	"modification by ubiquitination, deubiquitination"	UBE2N;UBE2V2;OTUB1	None	A deubiquitinating enzyme OTUB1 inhibits Lys-63-linked ubiquitination by binding to a ubiquitin-conjugating enzyme UBC13. The mechanism of human OTUB1-UBC13 interaction was revealed by human OTUB1-UBC13-MMS2 complex structure and structure-based mutagenesis. The atomic-level interactions presented by the OTUB1-UBC13-MMS2 complex structure are critical for Lys-63-linked ubiquitination inhibition.	None
Propionyl-CoA carboxylase	P05165;P05166	5095;5096	mitochondrion;biotin binding;propionyl-CoA carboxylase activity	mitochondrion;biotin binding	PCCA;PCCB	None	"The holoenzyme of Propionyl-coenzyme A carboxylase is an alpha(6)beta(6) dodecamer, with a molecular mass of 750 kDa. Biotin is an obligate co-factor."	Deficiencies in the biotin-dependent enzyme propionyl-coenzyme A carboxylase are linked to propionic acidemia. (PMID:29033250)
KRIT1-HEG1-RAP1B complex	O00522;P61224;Q9ULI3	889;5908;57493	GTPase activity;plasma membrane	eukaryotic plasma membrane / membrane attached	KRIT1;RAP1B;HEG1	None	"KRIT1 FERM domain can bind Rap1 GTPase and HEG1 cytoplasmic tail. The biological function of KRIT1 requires that its FERM (band 4.1, ezrin, radixin, moesin) domain physically interact with both the small GTPase Rap1 and the cytoplasmic tail of the Heart of glass (HEG1) membrane anchor."	"CCMs (Cerebral Cavernous Malformations ) occur in both sporadic and autosomal dominant inherited forms, and the latter are due to heterozygous mutations at three loci, CCM1 (KRIT1), CCM2 (OSM), and CCM3 (PDCD10)."
